,export,share,cum_share
MAC,2468.9573,2.1638665e-11,0.999973714351654
GMB,2420.2998,2.1212216e-11,0.9999760389328003
SYC,2277.499,1.9960669e-11,0.9999781847000122
KHM,2024.6752,1.7744846e-11,0.999980092048645
SMR,1970.491,1.726996e-11,0.9999818801879883
MDV,1876.4783,1.6446006e-11,0.9999836683273315
CPV,1791.2817,1.5699319e-11,0.99998539686203
AND,1749.8877,1.5336529e-11,0.9999870657920837
STP,1696.6362,1.4869817e-11,0.9999886751174927
VUT,1672.3533,1.4656994e-11,0.9999902844429016
ATG,1631.2828,1.429704e-11,0.9999918341636658
BEN,1597.9976,1.40053195e-11,0.9999933242797852
WSM,1570.0237,1.37601475e-11,0.9999948740005493
HTI,1475.931,1.2935492e-11,0.9999962449073792
BFA,1431.0901,1.2542493e-11,0.999997615814209
PYF,1382.9492,1.2120573e-11,0.999998927116394
SOM,982.93427,8.6147235e-12,0.9999998807907104
