,delta_t,delta_r,value
117,0.0,2500,0.027953842078520807
118,0.0,5000,0.028116420656454366
119,0.0,7500,0.02887934850177576
120,0.0,10000,0.028962561300227563
121,0.0,12500,0.028784673019632834
122,0.0,15000,0.03175270761590632
123,0.0,17500,0.029428672495912522
124,0.0,20000,0.029655360777924855
125,0.0,22500,0.029677538260419745
126,0.0,25000,0.031287441980620834
127,0.0,27500,0.030393661401251215
128,0.0,30000,0.030997257751197438
129,0.0,32500,0.030296153591957697
130,0.0,35000,0.03056621048838082
131,0.0,37500,0.03423620109965775
132,0.0,40000,0.031061824389300163
133,0.25,0,0.027620728107313752
134,0.25,2500,0.02824641324286059
135,0.25,5000,0.029358703240700557
136,0.25,7500,0.028984771771223272
137,0.25,10000,0.029968902987143053
138,0.25,12500,0.02974161615469928
139,0.25,15000,0.029792173094556063
140,0.25,17500,0.030964834453373058
141,0.25,20000,0.03171629307707757
142,0.25,22500,0.029669978258972662
143,0.25,25000,0.036015483907636536
144,0.25,27500,0.030318441294174825
145,0.25,30000,0.03139129899702997
146,0.25,32500,0.03210243268580992
147,0.25,35000,0.03150258847814946
148,0.25,37500,0.03144794663598738
149,0.25,40000,0.03192199491053316
150,0.5,0,0.02866551167526321
151,0.5,2500,0.0295788694392618
152,0.5,5000,0.030671599821840978
153,0.5,7500,0.030728626870324405
154,0.5,10000,0.03042780291331315
155,0.5,12500,0.03021530645654913
156,0.5,15000,0.0306801165339321
157,0.5,17500,0.03151499898843557
158,0.5,20000,0.030652629081973082
159,0.5,22500,0.032356487804530154
160,0.5,25000,0.03148827677499355
161,0.5,27500,0.030406904961410852
162,0.5,30000,0.03130852489914293
163,0.5,32500,0.033053526317083914
164,0.5,35000,0.03164706755167668
165,0.5,37500,0.03378670460090216
166,0.5,40000,0.034114340056223824
167,0.75,0,0.030034119566879625
168,0.75,2500,0.03030914212389657
169,0.75,5000,0.03059234392654986
170,0.75,7500,0.029748188804545883
171,0.75,10000,0.03053018116383477
172,0.75,12500,0.032375494290803886
173,0.75,15000,0.030184586225923127
174,0.75,17500,0.03107013173000439
175,0.75,20000,0.03125367783223254
176,0.75,22500,0.031461690079948035
177,0.75,25000,0.031187496491069666
178,0.75,27500,0.032165119414195864
179,0.75,30000,0.03160019653882795
180,0.75,32500,0.032362799593110836
181,0.75,35000,0.032095611549864955
182,0.75,37500,0.033240613095020244
183,0.75,40000,0.033080534650942184
184,1.0,2500,0.030000330125456998
185,1.0,7500,0.03260533489712891
186,1.0,12500,0.03125257718152863
187,1.0,15000,0.031206933858340946
188,1.0,17500,0.03163107648960217
189,1.0,20000,0.03264645648277664
190,1.0,22500,0.03243716172522948
191,1.0,25000,0.032003947936010135
192,1.0,27500,0.032066976914779666
193,1.0,30000,0.03254345466934261
194,1.0,32500,0.03428227546886653
195,1.0,35000,0.0345469740755
196,1.0,37500,0.03362941426097166
197,1.0,40000,0.035322972768225824
198,1.25,0,0.030293645943113567
199,1.25,2500,0.030741404682932405
200,1.25,5000,0.030715830091132545
201,1.25,7500,0.031404590775951924
202,1.25,10000,0.03108797624560289
203,1.25,12500,0.03141098210102111
204,1.25,15000,0.03216558946919079
205,1.25,17500,0.03162206820532809
206,1.25,20000,0.03235144812037127
207,1.25,22500,0.03189388459781117
208,1.25,25000,0.03204160593193173
209,1.25,27500,0.035797572764662
210,1.25,30000,0.03291546401815726
211,1.25,32500,0.033721691600563375
212,1.25,35000,0.034003251335934515
213,1.25,37500,0.03357959443404113
214,1.25,40000,0.03510329437872439
215,1.5,0,0.032093784878339804
216,1.5,2500,0.03092617974238543
217,1.5,5000,0.03150354187824167
218,1.5,7500,0.033851037361332104
219,1.5,10000,0.03210612341646435
220,1.5,12500,0.03265425823077983
221,1.5,15000,0.033024185101449
222,1.5,17500,0.03242979711557403
223,1.5,20000,0.0336245418894654
224,1.5,22500,0.03326042535716223
225,1.5,25000,0.03234370008424747
226,1.5,27500,0.03410243041244154
227,1.5,30000,0.03391742997307379
228,1.5,32500,0.03549831025422279
229,1.5,35000,0.03442418421437665
230,1.5,37500,0.034529949782147185
231,1.5,40000,0.03543025606433936
232,1.75,0,0.031732844657716974
233,1.75,2500,0.03188387000381265
234,1.75,5000,0.03249593729617306
235,1.75,7500,0.03554908115763755
236,1.75,10000,0.032610661162779664
237,1.75,12500,0.03318704033763442
238,1.75,15000,0.03342061000968233
239,1.75,17500,0.03400844006413717
240,1.75,20000,0.03509084483688252
241,1.75,22500,0.03505865641779682
242,1.75,25000,0.034492186371548605
243,1.75,27500,0.03398969281347419
244,1.75,30000,0.03423869711227656
245,1.75,32500,0.03481891024577077
246,1.75,35000,0.03432505105838146
247,1.75,37500,0.03625302718224255
248,1.75,40000,0.035602911675769455
249,2.0,2500,0.03363949056129911
250,2.0,5000,0.03289759990854346
251,2.0,7500,0.0327360773776153
252,2.0,12500,0.034803104629688164
253,2.0,15000,0.03357127157548323
254,2.0,17500,0.03593104161199179
255,2.0,22500,0.0345959235566351
256,2.0,25000,0.03515761652821414
257,2.0,27500,0.03516924025177559
258,2.0,30000,0.034618040861156274
259,2.0,32500,0.037570391745345155
260,2.0,35000,0.03569239105147837
261,2.0,37500,0.0350637140054566
262,2.0,40000,0.0356148494860431
263,2.25,0,0.03316253523530932
264,2.25,2500,0.03371101408358168
265,2.25,5000,0.03483381150810594
266,2.25,7500,0.03365605402496641
267,2.25,10000,0.03513786116304818
268,2.25,12500,0.034752590784847825
269,2.25,15000,0.03516399449687846
270,2.25,17500,0.03542099578319746
271,2.25,20000,0.03469229393673334
272,2.25,22500,0.03485097002839943
273,2.25,25000,0.03490743340568425
274,2.25,27500,0.035270875003701185
275,2.25,30000,0.036157345102694194
276,2.25,32500,0.03727080338495892
277,2.25,35000,0.036543081053674875
278,2.25,37500,0.03921725464270942
279,2.25,40000,0.037561993598456134
280,2.5,0,0.03371346346361381
281,2.5,2500,0.033947009950474616
282,2.5,5000,0.03373162426116849
283,2.5,7500,0.03392354425919564
284,2.5,10000,0.03527135864072051
285,2.5,12500,0.0368803991593003
286,2.5,15000,0.03461596761535901
287,2.5,17500,0.037100025740355314
288,2.5,20000,0.03742289041783753
289,2.5,22500,0.03951469412208919
290,2.5,25000,0.03565113256003283
291,2.5,27500,0.037077027770626714
292,2.5,30000,0.03773981604162646
293,2.5,32500,0.036713812185551475
294,2.5,35000,0.03646295889576656
295,2.5,37500,0.03715701651514358
296,2.5,40000,0.0391752986916849
297,2.75,0,0.03459601687532121
298,2.75,2500,0.033889352248483995
299,2.75,5000,0.034682821898557314
300,2.75,7500,0.03590866166400808
301,2.75,10000,0.036217504623459185
302,2.75,12500,0.03492120186634473
303,2.75,15000,0.04005047358321967
304,2.75,17500,0.036865344524383836
305,2.75,20000,0.03711312367140618
306,2.75,22500,0.03666074615868986
307,2.75,25000,0.037037464626910044
308,2.75,27500,0.03728327859908731
309,2.75,30000,0.037488317415146355
310,2.75,32500,0.043035054619466884
311,2.75,35000,0.0393722224597326
312,2.75,37500,0.04384956296650255
313,2.75,40000,0.043037293982362
314,3.0,2500,0.03502273109512455
315,3.0,5000,0.03636350666609278
316,3.0,7500,0.03561950518398138
317,3.0,10000,0.03621260138402249
318,3.0,12500,0.035933583318104034
319,3.0,17500,0.03704203101184689
320,3.0,20000,0.03582487287143721
