parameter,param_value,region_group,value
initial_storage_fill_factor,14.0,AI:95,9.279613547904134
initial_storage_fill_factor,15.0,USA,59.423502098796156
initial_storage_fill_factor,15.0,AI:50,17.27724351120316
initial_storage_fill_factor,15.0,AI:75,11.984127265956403
initial_storage_fill_factor,15.0,AI:95,9.14092257477273
initial_storage_fill_factor,16.0,USA,59.72290104423181
initial_storage_fill_factor,16.0,AI:50,16.459992447436626
initial_storage_fill_factor,16.0,AI:75,12.084672171827762
initial_storage_fill_factor,16.0,AI:95,9.133317639523497
initial_storage_fill_factor,17.0,USA,59.83176680483141
initial_storage_fill_factor,17.0,AI:50,16.749772672941525
initial_storage_fill_factor,17.0,AI:75,12.165363101363056
initial_storage_fill_factor,17.0,AI:95,8.984116972222978
initial_storage_fill_factor,18.0,USA,60.10235544444814
initial_storage_fill_factor,18.0,AI:50,16.43154252408126
initial_storage_fill_factor,18.0,AI:75,12.042177402485919
initial_storage_fill_factor,18.0,AI:95,8.940284998294317
initial_storage_fill_factor,19.0,USA,60.389450477576666
initial_storage_fill_factor,19.0,AI:50,15.911031918511192
initial_storage_fill_factor,19.0,AI:75,12.855688554568346
initial_storage_fill_factor,19.0,AI:95,8.742502647913241
initial_storage_fill_factor,20.0,USA,60.80020412774228
initial_storage_fill_factor,20.0,AI:50,16.59136953429357
initial_storage_fill_factor,20.0,AI:75,11.392508588032015
initial_storage_fill_factor,20.0,AI:95,8.934366040363017
initial_storage_fill_factor,21.0,USA,60.01124709457456
initial_storage_fill_factor,21.0,AI:50,15.760196278610763
initial_storage_fill_factor,21.0,AI:75,12.248460198258798
initial_storage_fill_factor,21.0,AI:95,9.808026792865803
initial_storage_fill_factor,22.0,USA,58.59456810784355
initial_storage_fill_factor,22.0,AI:50,16.89629034011049
initial_storage_fill_factor,22.0,AI:75,11.63254383860557
initial_storage_fill_factor,22.0,AI:95,10.55097392328237
initial_storage_fill_factor,23.0,USA,60.040208211118006
initial_storage_fill_factor,23.0,AI:50,16.38108382338526
initial_storage_fill_factor,23.0,AI:75,12.579570899721674
initial_storage_fill_factor,23.0,AI:95,8.74145766229114
initial_storage_fill_factor,24.0,USA,60.21036383215205
initial_storage_fill_factor,24.0,AI:50,16.606827696017625
initial_storage_fill_factor,24.0,AI:75,11.471532361284389
initial_storage_fill_factor,24.0,AI:95,9.340719808620406
initial_storage_fill_factor,25.0,USA,60.08756047588876
initial_storage_fill_factor,25.0,AI:50,17.24288715090625
initial_storage_fill_factor,25.0,AI:75,11.801276518984693
initial_storage_fill_factor,25.0,AI:95,8.604492526563021
initial_storage_fill_factor,26.0,USA,60.866014778730595
initial_storage_fill_factor,26.0,AI:50,16.233929615208574
initial_storage_fill_factor,26.0,AI:75,11.402112934457236
initial_storage_fill_factor,26.0,AI:95,9.37460515468679
initial_storage_fill_factor,27.0,USA,59.40188591050365
initial_storage_fill_factor,27.0,AI:50,16.7375210032434
initial_storage_fill_factor,27.0,AI:75,11.908565473070126
initial_storage_fill_factor,27.0,AI:95,9.838409680618057
initial_storage_fill_factor,28.0,USA,60.85419893810199
initial_storage_fill_factor,28.0,AI:50,15.972655382508876
initial_storage_fill_factor,28.0,AI:75,12.623902694261687
initial_storage_fill_factor,28.0,AI:95,8.45505950472402
initial_storage_fill_factor,29.0,USA,58.7701408379862
initial_storage_fill_factor,29.0,AI:50,16.888813016441055
initial_storage_fill_factor,29.0,AI:75,12.85422655117668
initial_storage_fill_factor,29.0,AI:95,9.15847337625378
initial_storage_fill_factor,30.0,USA,60.01759985854348
initial_storage_fill_factor,30.0,AI:50,15.853982541892563
initial_storage_fill_factor,30.0,AI:75,12.635060461510804
initial_storage_fill_factor,30.0,AI:95,9.389431716044982
price_increase_production_extension,0.5,USA,64.99758090645166
price_increase_production_extension,0.5,AI:50,16.4835174067874
price_increase_production_extension,0.5,AI:75,9.971858534760372
price_increase_production_extension,0.5,AI:95,7.048197767743318
price_increase_production_extension,1.0,USA,68.86238549669672
price_increase_production_extension,1.0,AI:50,11.869859924922778
price_increase_production_extension,1.0,AI:75,10.070708852471924
price_increase_production_extension,1.0,AI:95,7.438391997690701
price_increase_production_extension,1.5,USA,68.15510910115775
price_increase_production_extension,1.5,AI:50,12.190992436108502
price_increase_production_extension,1.5,AI:75,9.597067725892046
price_increase_production_extension,1.5,AI:95,7.698245500216643
