parameter,param_val,region,gains,losses,sum
initial_storage_fill_factor,18.0,global,34.61018512500107,-26.243258905000026,8.36692622000104
initial_storage_fill_factor,18.0,USA,19.051399448000346,-26.22334337900004,-7.171943930999692
initial_storage_fill_factor,19.0,global,31.93795754900189,-26.117779979000023,5.820177570001867
initial_storage_fill_factor,19.0,USA,17.26551621399965,-26.095054650000037,-8.829538436000387
initial_storage_fill_factor,20.0,global,33.09177701700001,-26.102947058,6.988829959000011
initial_storage_fill_factor,20.0,USA,18.35661026000032,-26.070420897000016,-7.713810636999696
initial_storage_fill_factor,21.0,global,32.37540917000154,-26.173007141000113,6.202402029001426
initial_storage_fill_factor,21.0,USA,17.888224050000453,-26.1455896890001,-8.257365638999648
initial_storage_fill_factor,22.0,global,34.109820985999725,-26.22763240099992,7.882188584999806
initial_storage_fill_factor,22.0,USA,19.200724308999717,-26.18632167299995,-6.985597364000231
initial_storage_fill_factor,23.0,global,33.18289208200053,-26.284465540000287,6.898426542000241
initial_storage_fill_factor,23.0,USA,18.59484985299994,-26.259318073000284,-7.6644682200003444
initial_storage_fill_factor,24.0,global,34.39541995500179,-26.182556220999977,8.212863734001814
initial_storage_fill_factor,24.0,USA,18.62096580500006,-26.160655228000014,-7.5396894229999525
initial_storage_fill_factor,25.0,global,32.099932343001214,-26.297505338000132,5.802427005001082
initial_storage_fill_factor,25.0,USA,18.073510867999797,-26.271389616000146,-8.197878748000349
initial_storage_fill_factor,26.0,global,35.940254509000205,-25.696491502999958,10.243763006000247
initial_storage_fill_factor,26.0,USA,19.6424990629997,-25.680444074999958,-6.037945012000257
initial_storage_fill_factor,27.0,global,34.716287810000644,-26.004656093000015,8.711631717000628
initial_storage_fill_factor,27.0,USA,18.966180799999496,-25.98284134800002,-7.016660548000523
initial_storage_fill_factor,28.0,global,34.15074722100202,-26.11184230799995,8.03890491300207
initial_storage_fill_factor,28.0,USA,18.882362951000278,-26.079326707999975,-7.196963756999697
initial_storage_fill_factor,29.0,global,34.92227559900001,-25.81100483000012,9.11127076899989
initial_storage_fill_factor,29.0,USA,18.777772526,-25.784198812000184,-7.006426286000185
initial_storage_fill_factor,30.0,global,36.0453418140009,-25.98906511000004,10.056276704000858
initial_storage_fill_factor,30.0,USA,19.368182880999683,-25.96407000300005,-6.5958871220003665
price_increase_production_extension,0.5,global,22.23338924600088,-14.42140441099986,7.811984835001018
price_increase_production_extension,0.5,USA,15.530109142000418,-14.362778799999923,1.1673303420004952
price_increase_production_extension,1.0,global,27.73671001899993,-19.17381471900008,8.562895299999848
price_increase_production_extension,1.0,USA,19.40340737500026,-19.115554420000077,0.28785295500018293
price_increase_production_extension,1.5,global,30.042918872000243,-21.570040832999922,8.47287803900032
price_increase_production_extension,1.5,USA,20.598549831999943,-21.53675366499993,-0.9382038329999887
price_increase_production_extension,2.0,global,31.149995234001047,-23.13240791900003,8.017587315001016
price_increase_production_extension,2.0,USA,20.91726459200002,-23.101475442000062,-2.184210850000042
price_increase_production_extension,2.5,global,31.15221173800203,-24.17043359900006,6.981778139001971
price_increase_production_extension,2.5,USA,20.249596875999735,-24.10399692300013,-3.854400047000393
price_increase_production_extension,3.0,global,32.77235551100088,-24.842300624999798,7.930054886001084
price_increase_production_extension,3.0,USA,19.99473752300034,-24.80598974099985,-4.81125221799951
price_increase_production_extension,3.5,global,31.870234187000662,-25.299015627000134,6.571218560000528
price_increase_production_extension,3.5,USA,19.022854269999673,-25.279348691000134,-6.256494421000461
price_increase_production_extension,4.0,global,31.986731394000806,-25.71447566599983,6.2722557280009745
price_increase_production_extension,4.0,USA,18.046659161999628,-25.692604055999844,-7.645944894000216
price_increase_production_extension,4.5,global,31.29313520200167,-26.14110539299989,5.152029809001782
price_increase_production_extension,4.5,USA,17.31034829200032,-26.123197348999888,-8.812849056999568
price_increase_production_extension,5.0,global,30.795575306000494,-26.25785411199999,4.537721194000504
price_increase_production_extension,5.0,USA,16.530242374000192,-26.24176521599999,-9.711522841999798
price_increase_production_extension,5.5,global,33.36343815100137,-26.645382338000108,6.718055813001261
price_increase_production_extension,5.5,USA,17.36971358499991,-26.621386965000124,-9.251673380000213
price_increase_production_extension,6.0,global,33.864591820000946,-26.165479107999957,7.699112712000989
price_increase_production_extension,6.0,USA,16.436556439000473,-26.13639996199998,-9.699843522999508
price_increase_production_extension,6.5,global,32.15507520400206,-26.507315954000006,5.6477592500020535
price_increase_production_extension,6.5,USA,15.758399271000043,-26.486710542000054,-10.728311271000011
