,value
ANT,-0.0064875885135762
BLR,
CN.SD,1.2365242728375758
CHE,0.17056542075656778
US.NM,0.6199281631800703
US.ID,0.029685342473320876
PAN,-0.00442597877772263
US.CO,0.9851583438163003
MAC,0.00042905718659797784
ATG,0.0001550112488055977
US.PA,1.2843998044843252
US.MN,0.050410502459421885
HKG,0.03205594078988395
COL,0.5206633280272237
VGB,0.00015932476490630683
US.RI,-0.04458143719374212
DZA,1.4547734114398612
BFA,0.00038170028643107207
GHA,0.18559591349746465
KGZ,-0.007192474282433467
ZAF,1.6722492375594533
US.TX,-95.20397728327467
US.MI,0.09050812213787658
SMR,9.324536932294524e-05
CN.BJ,-0.3363468282468518
BHS,-0.01843053744529015
FJI,0.00024568686385655015
LBR,0.00030332278111469416
CN.SC,-0.2229246528516744
BRA,2.136409542855105
CN.YN,-0.10751034709997581
JPN,0.3770601362073247
NZL,0.05462168727378309
ERI,-5.861109641934337e-05
IRN,2.741414041649741
LBY,0.1196105892760271
ARM,0.007468623685795664
DEU,0.8420099067258515
US.ND,0.4778356197649037
NCL,-0.16918591111018855
VUT,-0.0002772705952013762
TKM,
CN.GD,-0.44241182312177535
SLV,-0.003046871323566143
KHM,-0.0006751273755325282
US.FL,0.0635179012349857
AFG,-0.0030441542528681902
TWN,-0.10358560317345178
IRQ,1.0719829985351224
US.SC,0.015398701817409696
US.UT,0.1938879598737836
THA,0.40567903065761146
GUY,-0.0036670103636018197
BRN,0.07961071203687074
KOR,-0.058141948879113246
BHR,-0.11915558271424406
PSE,-0.003979085340561002
EST,-0.018008227028703135
SVK,0.05084368960825593
IDN,5.6567645627767345
DOM,0.004945308543897743
IRL,0.005175485105182561
BDI,0.0
ISL,0.01110280688899715
CPV,-3.260484833820779e-05
TUR,0.432888323112207
CN.SH,0.2814147999477639
MEX,2.9555680932647865
CN.NX,0.03130300278795025
HRV,-0.00446091254378836
CN.HL,0.14680611518991177
US.KY,0.08683603505915839
MNG,0.2276457204307164
GBR,3.832506834280267
CN.GZ,-0.07481091882385804
CAN,12.383552227572189
CN.GX,-0.1595087403692334
US.NC,0.041970419881622936
PNG,0.14072580124993467
AUT,0.01923424362324883
SWE,0.11855359427747816
UKR,0.37502277995381095
TGO,-0.050081047048914765
SRB,0.000401891212852815
PRK,0.023410920308813175
VEN,5.700070520664983
CN.HN,0.3502882526409373
CYM,0.00012243043570576192
PRY,0.0014577848881150552
TTO,0.5704063368142963
CN.HA,0.07275974714583842
US.WY,0.47771346465987446
LVA,-0.03418915932291716
BWA,0.005155753063444492
US.DE,
US.WV,0.5596694445783729
TUN,-0.07849487853328316
US.IN,0.04082908187680473
CZE,0.18504644496785125
GAB,0.2054879224375943
US.NE,0.022713874462350552
SSD,-4.567266454111344e-05
