,delta_t,delta_r,value
107,4.0,41000,0.1044015498571138
108,4.1,-1000,0.09269978171471127
109,4.1,0,0.09114914869612356
110,4.1,1000,0.09243311151077016
111,4.1,19000,0.0990855038613292
112,4.1,20000,0.09794731294094916
113,4.1,21000,0.09885819879733582
114,4.1,39000,0.10386940318756199
115,4.1,40000,0.10281127829190329
116,4.1,41000,0.10269609777604494
117,0.0,2500,0.059897779432871445
118,0.0,5000,0.0603147084056177
119,0.0,7500,0.0639533989806651
120,0.0,10000,0.06487475483958338
121,0.0,12500,0.06499640525332584
122,0.0,15000,0.0658714977569197
123,0.0,17500,0.06588731863439445
124,0.0,20000,0.06520754485312974
125,0.0,22500,0.06682458045685902
126,0.0,25000,0.06698965898690457
127,0.0,27500,0.06689344205217385
128,0.0,30000,0.06829752367287778
129,0.0,32500,0.06836084200685377
130,0.0,35000,0.06838967898648018
131,0.0,37500,0.06910196364957599
132,0.0,40000,0.06924845512190636
133,0.25,0,0.0632102721003669
134,0.25,2500,0.06267532095003414
135,0.25,5000,0.06301365345897647
136,0.25,7500,0.0650665890999047
137,0.25,10000,0.06627129939249521
138,0.25,12500,0.06596733280612721
139,0.25,15000,0.06750323014781401
140,0.25,17500,0.06768267018830709
141,0.25,20000,0.06879326836513044
142,0.25,22500,0.06659860094384573
143,0.25,25000,0.07018758217889332
144,0.25,27500,0.06842181652675361
145,0.25,30000,0.0690195228757462
146,0.25,32500,0.07125497738738051
147,0.25,35000,0.07034734990216673
148,0.25,37500,0.06918727389713109
149,0.25,40000,0.07283826005346494
150,0.5,0,0.0642728318408281
151,0.5,2500,0.0665720842676576
152,0.5,5000,0.06666553019036847
153,0.5,7500,0.06684581584710525
154,0.5,10000,0.06741445888995834
155,0.5,12500,0.06722604244875363
156,0.5,15000,0.06759560636691031
157,0.5,17500,0.06670130580714861
158,0.5,20000,0.06819076048820705
159,0.5,22500,0.06883149103054098
160,0.5,25000,0.06979987584236902
161,0.5,27500,0.06997690795966793
162,0.5,30000,0.06905044723286569
163,0.5,32500,0.07163346826914996
164,0.5,35000,0.07148741047637852
165,0.5,37500,0.0726986155916487
166,0.5,40000,0.07319332452047078
167,0.75,0,0.06686875979338147
168,0.75,2500,0.06770575625891784
169,0.75,5000,0.06621541966458366
170,0.75,7500,0.06632575935026086
171,0.75,10000,0.06726841241055936
172,0.75,12500,0.07028505006696495
173,0.75,15000,0.06793619801630513
174,0.75,17500,0.07048022354199102
175,0.75,20000,0.07022396046878487
176,0.75,22500,0.07102793966096144
177,0.75,25000,0.07048761194485831
178,0.75,27500,0.07172261610934871
179,0.75,30000,0.06995369272797536
180,0.75,32500,0.07403090934068324
181,0.75,35000,0.07067136815752662
182,0.75,37500,0.07439675198188667
183,0.75,40000,0.07382343062085628
184,1.0,2500,0.06800254562548957
185,1.0,7500,0.07006494266941221
186,1.0,12500,0.07127422710277997
187,1.0,15000,0.07139799795023993
188,1.0,17500,0.07332429880881897
189,1.0,20000,0.07136050935818705
190,1.0,22500,0.073718266217071
191,1.0,25000,0.07313034541109875
192,1.0,27500,0.0719388175037361
193,1.0,30000,0.0746415440541659
194,1.0,32500,0.07646870046431609
195,1.0,35000,0.07666464372051429
196,1.0,37500,0.07598332866805002
197,1.0,40000,0.07638942284071693
198,1.25,0,0.06821426798220287
199,1.25,2500,0.0685634358803755
200,1.25,5000,0.07137957328662292
201,1.25,7500,0.07157659997574228
202,1.25,10000,0.07170788237691461
203,1.25,12500,0.07134741335530492
204,1.25,15000,0.07311619272676317
205,1.25,17500,0.07241585699593323
206,1.25,20000,0.07513068061320016
207,1.25,22500,0.07345405838197205
208,1.25,25000,0.07409940195484133
209,1.25,27500,0.07699523587438861
210,1.25,30000,0.07685492834244023
211,1.25,32500,0.07706806110043818
212,1.25,35000,0.07640859896018704
213,1.25,37500,0.07641303468883809
214,1.25,40000,0.07996483844976421
215,1.5,0,0.07211084816445279
216,1.5,2500,0.07045198929442886
217,1.5,5000,0.07169762379319877
218,1.5,7500,0.07281176235074405
219,1.5,10000,0.0736116264189457
220,1.5,12500,0.07474612664388758
221,1.5,15000,0.0765841535619094
222,1.5,17500,0.07456949414814673
223,1.5,20000,0.07479430850085844
224,1.5,22500,0.07592396400664114
225,1.5,25000,0.07515457052300611
226,1.5,27500,0.07750919351681151
227,1.5,30000,0.07754910211146271
228,1.5,32500,0.08070834203026678
229,1.5,35000,0.07696907716057133
230,1.5,37500,0.0781310711369887
231,1.5,40000,0.08062931453844957
232,1.75,0,0.0730281754585338
233,1.75,2500,0.07527557966844345
234,1.75,5000,0.07369112930843968
235,1.75,7500,0.07622810659859702
