scenario,delta_t,gains_min,gains_mean,gains_max,losses_min,losses_mean,losses_max,sum_min,sum_mean,sum_max
B,0.25,,0.14336218078445984,,,-0.7732994773761057,,,-0.6299372965916462,
B,0.5,,0.13522774100000415,,,-0.7809409239999984,,,-0.645713182999994,
B,0.75,,0.14015573402521567,,,-0.8321213584390862,,,-0.69196562441387,
B,1.25,,0.15859539914505916,,,-0.8894282759892269,,,-0.7308328768441676,
B,1.5,,0.15883415000000045,,,-0.9089446860000018,,,-0.7501105360000014,
B,1.75,,0.14060430938782473,,,-0.959000957339608,,,-0.8183966479517834,
B,2.25,,0.15315011496803332,,,-1.0282052014381518,,,-0.8750550864701186,
B,2.5,,0.15608975000000133,,,-1.0933023349999995,,,-0.9372125849999986,
B,2.75,,0.13903630084909996,,,-1.1304612998510906,,,-0.9914249990019903,
B,3.25,,0.16783039964994442,,,-1.2262677436226244,,,-1.0584373439726797,
B,3.5,,0.15960326000000125,,,-1.2636879969999892,,,-1.1040847369999882,
B,3.75,,0.1518663710321761,,,-1.3196679837774943,,,-1.1678016127453186,
C,0.0,0.11741501500000241,0.1279528099999998,0.14565008300000082,-0.7486632509999952,-0.7374184149999953,-0.717684101999997,-0.6238384299999925,-0.6094656049999956,-0.5873944309999967
C,1.0,0.11505538700000376,0.14206663099999792,0.15936172799999776,-0.8957715389999866,-0.8782157660000088,-0.8451619959999968,-0.7589736699999778,-0.7361491350000109,-0.7077315629999866
C,2.0,0.13450149700000216,0.13738652000000212,0.16746532999999894,-1.0731299329999953,-1.0476803910000052,-1.03107930499999,-0.9386284359999929,-0.910293871000003,-0.8818381439999889
C,3.0,0.14128333699999884,0.1630181010000006,0.20036931299999797,-1.2752032569999925,-1.2508825179999858,-1.2259192299999913,-1.1331304929999915,-1.0878644169999845,-1.041674105999991
C,4.0,0.1539906619999975,0.16969550400000294,0.20241333200000336,-1.5160988809999942,-1.4861883439999959,-1.462784177999982,-1.3512114759999931,-1.316492839999993,-1.279274949999982
C,0.25,,0.14509344000000207,,,-0.7711026699999971,,,-0.6260092299999954,
C,0.5,,0.1564848669999999,,,-0.8043760759999914,,,-0.6478912089999918,
C,0.75,,0.1048132440000011,,,-0.8267137810000067,,,-0.7219005370000054,
C,1.25,,0.15229190099999917,,,-0.9089691879999963,,,-0.7566772869999971,
C,1.5,,0.14752093899999696,,,-0.9587209449999939,,,-0.8112000059999974,
C,1.75,,0.14917899200000118,,,-1.001281631999983,,,-0.8521026399999823,
C,2.25,,0.14757508400000172,,,-1.09639308,,,-0.9488179959999979,
C,2.5,,0.14562106599999913,,,-1.1459075659999924,,,-1.0002864999999934,
C,2.75,,0.15573488699999882,,,-1.1961467590000012,,,-1.0404118720000024,
C,3.25,,0.14960591200000123,,,-1.3016469449999994,,,-1.152041032999998,
C,3.5,,0.155792412999998,,,-1.371519821999997,,,-1.2157274089999988,
C,3.75,,0.17181164500000096,,,-1.4265099480000025,,,-1.2546983030000014,
